                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     97,                0.54219,                0.39804,                0.84046,                0.99844,                      1,                  0.995,                0.88509,                0.48166,                0.33804,                0.78048,              0.0011389,              0.0011389,              0.0011389
                     98,                0.53974,                 0.4326,                0.84878,                0.99906,                      1,                  0.995,                 0.8797,                0.48435,                0.34324,                0.78063,              0.0011334,              0.0011334,              0.0011334
                     99,                0.56149,                0.40442,                0.83013,                0.99893,                      1,                  0.995,                0.88701,                 0.4965,                0.33927,                0.78175,              0.0011279,              0.0011279,              0.0011279
                    100,                 0.5184,                0.39129,                0.82834,                 0.9989,                      1,                  0.995,                0.87429,                0.49382,                 0.3372,                0.78147,              0.0011224,              0.0011224,              0.0011224
                    101,                0.53748,                0.41216,                0.82781,                0.99859,                      1,                  0.995,                 0.8828,                0.49663,                0.34389,                0.78199,              0.0011169,              0.0011169,              0.0011169
                    102,                0.51074,                0.39591,                0.81957,                0.99852,                      1,                  0.995,                0.88994,                0.48089,                0.33961,                0.77797,              0.0011114,              0.0011114,              0.0011114
                    103,                0.54409,                0.39477,                0.84438,                0.99843,                      1,                  0.995,                0.88088,                0.49505,                0.33815,                 0.7765,              0.0011059,              0.0011059,              0.0011059
                    104,                0.51918,                0.45151,                0.81895,                0.99828,                      1,                  0.995,                0.88608,                0.49166,                0.34766,                0.77496,              0.0011004,              0.0011004,              0.0011004
                    105,                0.51217,                0.38168,                0.82015,                0.99858,                      1,                  0.995,                0.88597,                0.47189,                0.34936,                0.77332,              0.0010949,              0.0010949,              0.0010949
                    106,                0.51879,                0.39598,                0.82444,                0.99898,                      1,                  0.995,                0.89083,                0.46895,                0.34525,                0.77377,              0.0010894,              0.0010894,              0.0010894
                    107,                0.53043,                0.39992,                0.82593,                0.99895,                      1,                  0.995,                0.88904,                0.46969,                0.34755,                0.77615,              0.0010839,              0.0010839,              0.0010839
                    108,                0.49054,                0.38381,                0.80948,                 0.9987,                      1,                  0.995,                0.89139,                0.46891,                0.35123,                0.77831,              0.0010784,              0.0010784,              0.0010784
                    109,                0.53168,                0.38424,                0.82677,                0.99877,                      1,                  0.995,                0.88614,                0.47848,                0.35183,                 0.7804,              0.0010729,              0.0010729,              0.0010729
                    110,                0.51622,                0.38928,                0.83519,                 0.9987,                      1,                  0.995,                0.88532,                0.46384,                0.33339,                0.77747,              0.0010674,              0.0010674,              0.0010674
                    111,                0.47775,                 0.3649,                0.81078,                0.99824,                      1,                  0.995,                0.88254,                0.48962,                0.33528,                0.78079,              0.0010619,              0.0010619,              0.0010619
                    112,                0.52185,                0.38459,                0.82867,                0.99807,                      1,                  0.995,                0.87888,                0.48391,                0.34225,                0.77752,              0.0010564,              0.0010564,              0.0010564
                    113,                  0.514,                 0.4024,                0.83867,                 0.9979,                      1,                  0.995,                0.88716,                0.48684,                  0.336,                0.77541,              0.0010509,              0.0010509,              0.0010509
                    114,                0.53286,                0.39907,                0.81781,                0.99786,                      1,                  0.995,                0.88029,                0.52372,                0.34186,                0.78119,              0.0010454,              0.0010454,              0.0010454
